Priority,What looks wrong,Detail,Date,Accident Type,City / Place,Killed,Injured,Headline,Link
HIGH,figure may be an age or a time period,5 appears as '5-Month',2026-08-09,port maritime,Not identified,5,,Tragedy Off Liberty Island: Woman And 5-Month-Old Baby Dead After Boat Capsizes | WATCH - The Times of India,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQZnR4a2VMaFZhX2dIakdjQ3FxY3RqaUxuZlo0NVJ0cmxha3p2c3J1aUlXcDBRSzRtRXh6Unlfbkk0amhOSFMzN1RKUUR0T2lCR3NtdWJRSkwybWJPR3lKZlFPd21aQmtOZzg3aFo1NE95c1pHVXhNNFR1Q0dyenhyU1dXVERZNEV5Zi1weXo0SlhUWjZvb0g2WHhUa3hGRWNBVTYyZE9WTy1nMW9wb1RmSU1VeTBnbTNwMjhVelpoanpPNE44UFRvUnpzWjc4NW1PNE9ZdmJBR2JNZG5vV3V0Q19UTmNCcFR1MGs2WkVqMFLSAfYBQVVfeXFMT21VVFZXZFZKc1FoU0J0R1V0a3pYc1RzVmxEa09oZHJzQWR5TDZoSUtrT2w4dDJCN09MS1g1VHFmaS1QTkpDTF9VbldQZlBoYVZnZWp3WDY3YVQtSEpQZGc5R21ZaHJpdzhuMy1wT1VKY1BNWHFfMUdaOW5QSXlfNkRLTFBtdjZqLV94SFRqVDNMTUZla2lfZGZUNWczbURsbGpsS1g1QkxIenBxTmMyRXRFMUpnOTFZUVIyUWtxc200R01nVGFqeGVUclhoQmRza0JKYUpJT0p2WlV6UGZPbHJRSm51Um9sa1pVS1JQVlVMWkdLV3ln?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Anantapur: Fatal accident.. Travels bus, Eicher vehicle fell",2026-08-09,old structure collapse,Anantapur,,23,"Bus falls from bridge in Anantapur district of Andhra Pradesh, 23 passengers injured - ThePrint Hindi",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNYWo2R3JrZEJZYUZUN0lWS2tIbTZSX0VWWnc4RGd2djR6SlFlYUpQQnVBMW8xMVhCY1pVZVp6cW5RRFdZcjQwM3BnTlNvUXhsODdDNXFsV0Qyb3FLb0tqSTJla3ROeURMaG96NTZaaGROdk5UTTZWY0lSNlR2aUtyN013cHZoZ0ZUYlI5WFpVeWd2NktyQmFlcW05MnF0OGl1ZVJMWDE0UEdINkFFVHRtaFZYYy1QOC1KZHJ1enlXZTBwZ9IBxwFBVV95cUxNei1tcEdpcWE2LXlJcTdBdXR6T0RiQ2FOLW9wTzZuT1BTQXVPdUZ0d0hUcTZ4U0hLUkRya0xMR2M1TVZKZmx4Z0JXNV8wNkI4ZzY0REpYOFk4VEx1MW9EUkdkOER0T0ZfYUF0MnprQXN3ZWpWTzVSbWF3d3l2N1lLTGgzMUdJNGI0MjhWRXJSZF9UVzFueTNBRk9ud1FjTm5VYmxhLXp0aFdIek5INzdBTmZHcXUxZnB6Y1JOa2F0SWhHNVhtMU1j?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Madhya Pradesh: Fatal road accident.. 8 laborers killed - Ee",2026-08-18,roadway,Madhya Pradesh,8,32,Madhya Pradesh: 8 killed in road accident; 32 people injured - Daily Thanthi,https://news.google.com/rss/articles/CBMikgFBVV95cUxPMlp3ZUZDZVY2am4xRzZseVg1V2JGQTVVNmN5SFNFNHN4aTNqUFVfQ0hubXo4dXBremFWWFF3Nk5BZVVkSk9BZ29OQXMzZ2NKLXRRUGFnbmF2UmlBcXdYcWFrYUI1NGRjcko3ZGNvSVBwcUhYbUVFRVlHdndMVnVSNkdoODRCbTRtX2pEMWdVSnRnUdIBnwFBVV95cUxNbVRFWnJzMG4ta0g4RmVqdG9xdDMwRGs2SHZ1SjlTOHFFUVppR3B0VkprRVFGNjBjSUNfaDI2WFZEUUdDb1RkVEs5Znd2OS15S0I2VVRJUnR6MDUzTnVCM3Vhb1JKOVplX2xVLVhqS1pQRUtxVnVIeHE5aWlUNUI1RTRwRGd1TGZYNGFjeTF5c1BFNUR1MnYtOHVhNmV0Vmc?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: 1 killed, 19 injured after building collapses in Kolkata; re",2026-08-18,old structure collapse,Kolkata,1,15,"1 dead, 15 injured as 3-storey building collapses in Kolkata after heavy rain - India Today",https://news.google.com/rss/articles/CBMizgFBVV95cUxQanVia2FlS2xuQ2FmN1hQRTdqdHppbm5XQzdKYTdOVVl5dE83X3ZJd1Y2YmZXTk9KU2MtQTBsWU9CMWNsX0dkenNEc19fQ2l1bUVHdHZlZk5OQWtWMVFtR3NDTXZQUnNyUHphRExkRFFJTFVHLWgyRnA2d2E2YzVmTTYtQVE3XzNtWXpLZWxTSnNodC1xRjhjYnRzWThWUVZBbUlTbXhWVm8wUDdFOEw4dk84ZXV6eHNpYXZCTmtycjNwY05HT2hwNVA3em80QdIB0wFBVV95cUxPbWJxYkNWQXc4M1d5cEZYdV9XS0J6SGxOSHRnY2YxMkFyajJrTk05WW03V0ZTcVRHRDhjQ0hGekNFeTNqdW5KQU1HVUNSdVo0cjZWRnp6VzRsWW93R1B2REhObVdrVUlwRXVmOVpaeERVSFZRTmhlUDBBMmRaOF9kRGtaVlVHT3pORUMzMFZwZ3pfal9LdFkzei1oWlhjbDNSYzJETjg2VTBYUmVmUlpHbEJJQ0FGLVZreTZSR0NDUDNXZWNyT3FlN1BtYjdqRzJNQzhv?oc=5
HIGH,figure may be an age or a time period,18 appears as '18-year',2026-08-19,roadway,Not identified,,18,"Bike hit by car, 18-year-old lay on road with serious injuries for half an hour, then died - Kerala Kaumudi",https://news.google.com/rss/articles/CBMif0FVX3lxTE9FMi10MWs5WlNPV2Q5WUVRQXZXdkV0M2s0Q2lCc1JzSTVNRVVVMU5jUm43dE1VRno1cHFYQ0U0bWdkTEcyRjhQQ0NnTm9DMTZMNWFRM0R2OUhEVUhhMDdoa085YXVUZl9lRUtFcDhVRXdfMUkzbUtkMTN6SEM5OEk?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Pedestrian dies due to collision with unknown vehicle in Mee",2026-08-21,roadway,Meerut,1,1,"Another female Kanwadian injured in a road accident in Meerut, dies - Hindustan",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPb1Q0VlprSnpFQ19Cb3dhMXJGaTZORVFFNldyT3BMcjJmSVJtY2dFMUJWY0VXcHpub1ZFYnliS0t2eVBPVUdyNVcxN0hvaUV3Q2RDQU9mblZwYmE1UV9Gb2YtTWZkRkhIUl9Ic0ltSjdaVEVCM3puaWxHSTRLS1VkQXZ4RjBIeXl2YkdkRHE5Q1VKSE93TDN0OVNIVWFPaG8zRmpxVFZOUjltaDJaM3pqZk1ZanRsTlEy0gG-AUFVX3lxTE5fbEJEaXdlWDlqVlExQVUtVmtHdTRmekhfMW1zVWZXbldvTjJpaTB4NEZ4UTdwb210dmE0WXpoamFBOUtiZzduekNmUnd0TVpZUHZsRXY4S3NrOXI0N1hUcDNRNWZqMzlYb3B0dHpjcmY1MTlUc0Z2bzhOMm9BZW5BX1llNkh6YlowcmhHc3p4WGtEM3FCNDFCaXdpb1pXVG50a21hcmxrVlFuZ0YteXpRWmRvMTVGY3VxcjhXZ2c?oc=5
HIGH,figure may be an age or a time period,2 appears as '2 month',2026-08-22,roadway,Alwar,2,,"2 youths died in a road accident in Alwar: One youth had gone to collect wages for 2 months, the other was found lying on the road - Dainik Bhaskar",https://news.google.com/rss/articles/CBMizwFBVV95cUxQYnl2RXUyVkhPbGxyTm1FQTVwbXpQUlNQSWFqVjRtMW9veEhBbVJQcms4RlZSSmFELTZTX2tCUmt5NEpiVVF1T3EzYlJHM1ZSWHZmaVV3MEtka0ZoSUttQ3dsZTM5UG1TODllUVZWbnpCU3FPdWVkenEwTEg1dlNRX0UtZlpMM3liR0RFM2dSd0FUT2NZdXJ5MlludGZoVXR4WFdaUDRBNGx5RGJjcUVVdWRxSXhxUHlPU3lvRlNLcFBXbzRIQXRJT2o0aGd4ZWfSAdQBQVVfeXFMUGVCWVRzWFBBLTVSRHA2dERKaHlLR29UUjJMb1IyUldTSjlJUm4xaWhBYWljbE9QZlF3aWNrNXdfX3RfZ01aaElIQzFWUnJOZURtbllMTVRiQTJHczJoNXRVemVyN1B3TEo0bG80QU05bGpFM3dfTE1LajU0cXZYbEFidWpCc21ONHV5cXRGWGM5RFNvUG4ySS0yOWcwbGQ5M05rRy0tVzhiVlZuZkFkU2RVR1JaQ1AxaHBVSGdsM2JNRG1SSmNKbUVHLXFaMko1Rnd1bk8?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Hyderabad: Seven-storied building collapses in Gachibowli.. ",2026-08-22,old structure collapse,Hyderabad,2,1,"Two killed, one injured as multi-storey building collapses in Hyderabad’s Gachibowli - The New Indian Express",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNUEU1TnB0WWZjTXVoUHZRQmdxOUh5SDI5aUgwY2hLMFM2TXRNa1lBSm5zQ0hCMlJwR19rby1WQS15aDU3Q0d6Wkx1eGtDVXVZZmdVVVBiMFFmVWl5YTNWYTVjbXU3WTNvUXV2UGFRaE1SX3o2NHBFdzk3M2NJMnJLc2dhRmJkeExVUmEwUUwxWEthcVJUR2ktenh3Nzg2SUgwRFBCSGFTcHA1ZVZHdjdVTXpmS1hlNnNJYld2QlMyVWRJUEcxRktnYV9XLWx6aHM1RHhNUEhTemthOW5i0gHqAUFVX3lxTFBWbjZKQ0xBbzFySFFEUGJMSWlISkRncTZfaEEzRU5oeWstWUZDY0VLWG5icmhPTmp4bXFmSnNfY2xUdTRvZzVhVXN6ZTRCdTNCaUQ0MUVFLU9PYXpLQkpFRU9uR2hWTU1WVlM0YVQ5ZjB6Y2IxbndOTE9qeUJzZzlEaHFOUGFZYkd3b0RlN2VTVW1fNGdkekt1MGNuT0pJTVozRW1fUTJkSmZjSWRQSlhNckFsSHRfLWc1YV95WkFQZkpUUVV5cUlhelhxblN2dk5xYUZreHo2d04tc1dVVkdTNkVWT2c2eFVaUQ?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Hyderabad: Seven-storied building collapses in Gachibowli.. ",2026-08-22,old structure collapse,Hyderabad,2,,Two workers killed as unauthorised seven-storey building collapses in Hyderabad - The New Indian Express,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNdzBpWjlHZU9zR041TFNYaWdIWXlGX0w3bnFCVkRoMnZrZnd4VmxGTTBTME1hRFpqU3RvLTZHVUsyRVg0Ukw2OWFDTzJKWE9xZ3VSaGFPTTVORjltbDJGdnhBZjg2VER5cWFYYU9QWE1jbTlsSk1lQ0hTZndxbk96T1d5c1lYMjJ3RUY5a2NuZEJXdm5ZSHRoMUdfN0lfeGUwSGVvUFE0cWI2RjNVNzYyVEt3VW9tYnZ4cmZvX2c3X0FNckEzX0lpZmJpTERoaWE4THRLQWVMTFjSAeYBQVVfeXFMT09KMHQ2cnZ0TzZSSHlCRDNLNXQzU1VXSkNGVkF0SFNvT1pZelIxSVVuY190SlVTT3VoTndnRGlEWWtUZE9Td3JYdTd5dHpzX25KSDdWWHdRME9RNUpBUmFRQmExWmlRSTkyUDdUOHpBMHJFbFpjRm9jaEh6dzJidHU5VXg2endESGoxTEhiVm43RngxOFpqX3oyRzlMRFNycGE3VkE4R0ZiYnpieE1mdW15eXBXT2tSMlpoX3VuRUNuRVBrQTFsWXpZdzlYckVac05MLU1FM0RGOVhIUnlycE80bnBKTWc?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Hyderabad: Seven-storied building collapses in Gachibowli.. ",2026-08-22,old structure collapse,Hyderabad,2,1,"Hyderabad Building Collapse: Two Dead, One Injured | Illegal Construction Under Scanner - WION",https://news.google.com/rss/articles/CBMixwFBVV95cUxQSk15a05rbTFmOGNxMmVQZDJwX1A0dXA5UnFqRnFQMGp4bFZBV2V1M0I3cV9JUHZwZElIVzVGYV9xdmlGbm1hQndLMWlUWnh3Rk1LTzA4QmEyTkYtOWgyOEJFblpBS2dfNUFHcnhTbzJ4ZjNFb2M0dEU5d3d6MUlJS1ktZUJ6NDdDS3F0aHZvVjFyOXpsOWN6MFVKVTNFdEJoTFhXVVFRODlpdDROMmJ6SHg4YXRTcWtadVN0N1I5TW10X0RhWTN30gHMAUFVX3lxTFBFdWdoTUJXXzlvRFhNcG9wSVVKTXVuYnVpclVCeWNxUVdEMlBLZHBrSFhQQzI4R3BWc2pMdUhzeXVOVFMzdzB4YlQtN2NaRUUwbE04TkNCeXJfTEt3RU9CanE1dHN3RHpCc3dqTEloX2NJSVN1N1lpWUtGTWk2Tm5fZlJHYWd0NEVtU054emd6bkVlZmhNRHIzVS1CeDFZZjNtZTBkMzBLcEJ2SjBFYVRIQ3JQMGhSUlB6WnJ3RTlNbkctTUtfUlZOM1pNZg?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Telangana Tragedy: 6 Killed, 20 Injured After Hyderabad-Elur",2026-08-26,roadway,Suryapet,6,12,Suryapet Bus Accident: Speeding bus hits container full of iron bars; Six people died; 20 injured - Lokmat.com,https://news.google.com/rss/articles/CBMilgJBVV95cUxOU2JNN1BaV3lQN3paSjhxNlczZ2QwVXdRRUdpeE9GM1dxUUpkUHFueF9LejloZmZnZ045UUZ3M08tVUhJS014SERPRU01Q21CU3dVUXVxVmhlT1pHR1hGVlNwVHl3QXlXdEpBejh1d2I1eld0MlhuWGhfN2ZtYlJYYVp5cDFUdy1Id3lWMGFVbG15MVM5aTZMczhWc2VoMnR1ZW1SSDM2ekpzUmRCdzFqM3A3QzFkaHd6NUZNcENpRUpralVfZGZmOTZ5TE9tVkNmSG1KQ190cFFwcEI0dHV1QU1zRkgzS0Exa1ZFWXlvbmYxRUZheTB5UGtoWXRxcU9ibWJEQmF4RmF4TjFkeTBrVl81T2pKQdIBmwJBVV95cUxQVmV4ZFhWSHlrU1VJaFYzZ2oyU2xQVVhENWhCMW9pWGZFQ01iQXJBOVBhODU2V01rYkt4LXJ1VWtucF8wWjZCa1I2azd0dGEzR3FWel9POVJtVWxpTHdZNTlhSTdCS3BCMHhva0ZXcmNvZUZETTIzLVduWFV0RFpPbWtEeldtY25KRnY5M2JnVnZLYjViU2JydGJPYWVJejFJbnNjNG1reTVaeEFYSE1wVmdYbmplSm1XNm9KejEtZVhUTVlaOGZmalFHWXpCamZFdkUzcWRPRlo2NW1YdzIwaDlHY0Z4TGRUODYzRVliWExSc3VEa3dqYzhKb05lV0NwaHo3Y05aNmJxUV9LeTg4dHFqUmU0a1ZBOWhj?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Six killed, 12 injured as speeding bus crashes into lorry in",2026-08-26,roadway,Telangana,6,20,"Fatal road accident near Kodada - 6 killed, 20 injured - ETV Bharat",https://news.google.com/rss/articles/CBMitwFBVV95cUxOVTFaTmEtUFFta2JEV2dTNWRMNHZlX0hELVhmc0FrTzZLci1va0R5YW9xYncwZ1d0b1BLM0I3ektkM3YxdGgtLXo1Q3piMjdOSTlpSnVySlEyeFBOZDY1cEtHVS1YTEJtYm1naFR3ZlZsV19yT09OcFU4ZlpINmk2UzhpU2E0cmRSNzJGUHRGQ2dDLUhWaWdHajBSRDh2NGxNNG4tWng1UkxQR1ZnT0p6RUJZOW1ENlHSAbwBQVVfeXFMUEpPUmkzREZPek5VbDc2WE8xWW01NENlT2x1VmVXX0hlSjRYcDNuc24yV1BWN0NhcWtGV3YyZmdtc3VWc3FadFhtYjFvOWFlRnBRd0Jjc1gxd0M3Q3I1czZ6azZPX0V1TkxrRy0ycmJMR2M3WE5mYjF5ZVVvb1MyY0JnQ0JtWE1RTTBpZURHRU1YNHpUSXlzUVhsLWl2cEtwTlNqdkdNMDltazhPcW1hUV9aWjBjWVJhZ3k2djg?oc=5
